Categoria,Jogo,Mes,Ano,Media,Ganho_Absoluto,Ganho_Porcentagem,Jogadores
STORY DRIVEN,Red Dead 2,Last 30 Days,,32271.2,3677.5,12.86,62.901
STORY DRIVEN,Red Dead 2,September,2025,28593.7,-2083.7,-6.79,57.251
STORY DRIVEN,Red Dead 2,August,2025,30677.4,-7619.9,-19.9,54.558
STORY DRIVEN,Red Dead 2,July,2025,38297.3,5932.2,18.33,61.175
STORY DRIVEN,Red Dead 2,June,2025,32365.1,35.0,0.11,66.882
STORY DRIVEN,Red Dead 2,May,2025,32330.1,-2662.6,-7.61,61.466
STORY DRIVEN,Red Dead 2,April,2025,34992.7,1148.7,3.39,69.716
STORY DRIVEN,Red Dead 2,March,2025,33844.0,-14961.7,-30.66,67.662
STORY DRIVEN,Red Dead 2,February,2025,48805.7,9769.6,25.03,99.759
STORY DRIVEN,Red Dead 2,January,2025,39036.2,5028.9,14.79,86.405
STORY DRIVEN,Red Dead 2,December,2024,34007.2,8678.4,34.26,55.781
STORY DRIVEN,Red Dead 2,November,2024,25328.8,3275.7,14.85,49.554
STORY DRIVEN,Red Dead 2,October,2024,22053.1,-2470.7,-10.07,41.902
STORY DRIVEN,Red Dead 2,September,2024,24523.8,-1085.9,-4.24,44.993
STORY DRIVEN,Red Dead 2,August,2024,25609.7,-5103.9,-16.62,46.985
STORY DRIVEN,Red Dead 2,July,2024,30713.6,4976.7,19.34,51.175
STORY DRIVEN,Red Dead 2,June,2024,25736.9,2886.3,12.63,47.009
STORY DRIVEN,Red Dead 2,May,2024,22850.6,-5058.6,-18.13,41.324
STORY DRIVEN,Red Dead 2,April,2024,27909.2,-1910.7,-6.41,50.627
STORY DRIVEN,Red Dead 2,March,2024,29820.0,-4631.5,-13.44,56.052
STORY DRIVEN,Red Dead 2,February,2024,34451.5,-4901.0,-12.45,62.584
STORY DRIVEN,Red Dead 2,January,2024,39352.6,-4068.9,-9.37,72.729
STORY DRIVEN,Red Dead 2,December,2023,43421.4,10868.8,33.39,75.466
STORY DRIVEN,Red Dead 2,November,2023,32552.6,7461.7,29.74,77.335
STORY DRIVEN,Red Dead 2,October,2023,25091.0,-3951.7,-13.61,52.269
STORY DRIVEN,Red Dead 2,September,2023,29042.7,793.6,2.81,60.944
STORY DRIVEN,Red Dead 2,August,2023,28249.1,-4241.0,-13.05,51.519
STORY DRIVEN,Red Dead 2,July,2023,32490.1,7465.4,29.83,53.929
STORY DRIVEN,Red Dead 2,June,2023,25024.7,2158.4,9.44,44.594
STORY DRIVEN,Red Dead 2,May,2023,22866.3,-4030.0,-14.98,43.387
STORY DRIVEN,Red Dead 2,April,2023,26896.3,-400.6,-1.47,49.104
STORY DRIVEN,Red Dead 2,March,2023,27296.9,-4567.3,-14.33,51.699
STORY DRIVEN,Red Dead 2,February,2023,31864.2,-10544.4,-24.86,66.221
STORY DRIVEN,Red Dead 2,January,2023,42408.6,3336.8,8.54,70.787
STORY DRIVEN,Red Dead 2,December,2022,39071.8,16535.7,73.37,63.092
STORY DRIVEN,Red Dead 2,November,2022,22536.1,5628.8,33.29,66.113
STORY DRIVEN,Red Dead 2,October,2022,16907.3,-713.0,-4.05,36.083
STORY DRIVEN,Red Dead 2,September,2022,17620.4,-664.5,-3.63,34.026
STORY DRIVEN,Red Dead 2,August,2022,18284.8,-2743.5,-13.05,33.31
STORY DRIVEN,Red Dead 2,July,2022,21028.4,4939.5,30.7,34.677
STORY DRIVEN,Red Dead 2,June,2022,16088.9,-1444.2,-8.24,29.994
STORY DRIVEN,Red Dead 2,May,2022,17533.1,-117.0,-0.66,31.301
STORY DRIVEN,Red Dead 2,April,2022,17650.0,-87.1,-0.49,36.925
STORY DRIVEN,Red Dead 2,March,2022,17737.2,-2709.3,-13.25,34.264
STORY DRIVEN,Red Dead 2,February,2022,20446.5,-5684.6,-21.75,38.796
STORY DRIVEN,Red Dead 2,January,2022,26131.1,3444.8,15.18,41.289
STORY DRIVEN,Red Dead 2,December,2021,22686.2,6569.8,40.76,39.284
STORY DRIVEN,Red Dead 2,November,2021,16116.5,3556.1,28.31,40.154
STORY DRIVEN,Red Dead 2,October,2021,12560.4,-2372.5,-15.89,23.229
STORY DRIVEN,Red Dead 2,September,2021,14932.9,-992.9,-6.23,28.444
STORY DRIVEN,Red Dead 2,August,2021,15925.8,-1078.6,-6.34,26.771
STORY DRIVEN,Red Dead 2,July,2021,17004.4,4956.9,41.15,28.222
STORY DRIVEN,Red Dead 2,June,2021,12047.5,-271.9,-2.21,20.701
STORY DRIVEN,Red Dead 2,May,2021,12319.4,-89.9,-0.72,23.909
STORY DRIVEN,Red Dead 2,April,2021,12409.3,-1134.8,-8.38,24.23
STORY DRIVEN,Red Dead 2,March,2021,13544.1,-3106.6,-18.66,26.285
STORY DRIVEN,Red Dead 2,February,2021,16650.7,-2853.7,-14.63,27.539
STORY DRIVEN,Red Dead 2,January,2021,19504.3,2224.3,12.87,32.225
STORY DRIVEN,Red Dead 2,December,2020,17280.0,2813.3,19.45,31.958
STORY DRIVEN,Red Dead 2,November,2020,14466.6,-1622.7,-10.09,28.593
STORY DRIVEN,Red Dead 2,October,2020,16089.4,4750.1,41.89,31.679
STORY DRIVEN,Red Dead 2,September,2020,11339.3,-3849.1,-25.34,24.256
STORY DRIVEN,Red Dead 2,August,2020,15188.4,1248.6,8.96,26.223
STORY DRIVEN,Red Dead 2,July,2020,13939.9,2284.8,19.6,23.167
STORY DRIVEN,Red Dead 2,June,2020,11655.1,-3569.4,-23.44,20.131
STORY DRIVEN,Red Dead 2,May,2020,15224.5,736.2,5.08,26.618
STORY DRIVEN,Red Dead 2,April,2020,14488.3,-1998.4,-12.12,28.754
STORY DRIVEN,Red Dead 2,March,2020,16486.7,-7779.2,-32.06,30.022
STORY DRIVEN,Red Dead 2,February,2020,24266.0,-851.1,-3.39,50.007
STORY DRIVEN,Red Dead 2,January,2020,25117.1,-3509.2,-12.26,51.03
STORY DRIVEN,Red Dead 2,December,2019,28626.3,,,55.269
STORY DRIVEN,Cyberpunk 2077,Last 30 Days,,34088.6,1118.4,3.39,67.536
STORY DRIVEN,Cyberpunk 2077,September,2025,32970.2,-14443.9,-30.46,63.411
STORY DRIVEN,Cyberpunk 2077,August,2025,47414.1,4916.4,11.57,83.863
STORY DRIVEN,Cyberpunk 2077,July,2025,42497.6,14656.9,52.65,70.422
STORY DRIVEN,Cyberpunk 2077,June,2025,27840.7,982.5,3.66,56.726
STORY DRIVEN,Cyberpunk 2077,May,2025,26858.2,1914.8,7.68,57.605
STORY DRIVEN,Cyberpunk 2077,April,2025,24943.4,-4439.6,-15.11,45.973
STORY DRIVEN,Cyberpunk 2077,March,2025,29383.0,-3477.3,-10.58,61.274
STORY DRIVEN,Cyberpunk 2077,February,2025,32860.3,-10156.2,-23.61,66.521
STORY DRIVEN,Cyberpunk 2077,January,2025,43016.6,125.1,0.29,71.962
STORY DRIVEN,Cyberpunk 2077,December,2024,42891.5,14316.8,50.1,71.296
STORY DRIVEN,Cyberpunk 2077,November,2024,28574.7,1918.7,7.2,54.954
STORY DRIVEN,Cyberpunk 2077,October,2024,26656.0,823.2,3.19,50.754
STORY DRIVEN,Cyberpunk 2077,September,2024,25832.8,1353.1,5.53,57.379
STORY DRIVEN,Cyberpunk 2077,August,2024,24479.7,-482.0,-1.93,48.068
STORY DRIVEN,Cyberpunk 2077,July,2024,24961.7,3149.0,14.44,42.923
STORY DRIVEN,Cyberpunk 2077,June,2024,21812.7,-596.4,-2.66,40.623
STORY DRIVEN,Cyberpunk 2077,May,2024,22409.1,-3278.9,-12.76,42.906
STORY DRIVEN,Cyberpunk 2077,April,2024,25688.1,-76.2,-0.3,53.453
STORY DRIVEN,Cyberpunk 2077,March,2024,25764.3,-3539.1,-12.08,48.57
STORY DRIVEN,Cyberpunk 2077,February,2024,29303.4,-9350.1,-24.19,54.61
STORY DRIVEN,Cyberpunk 2077,January,2024,38653.5,-9979.1,-20.52,72.853
STORY DRIVEN,Cyberpunk 2077,December,2023,48632.7,8391.5,20.85,88.875
STORY DRIVEN,Cyberpunk 2077,November,2023,40241.1,-54668.2,-57.6,81.39
STORY DRIVEN,Cyberpunk 2077,October,2023,94909.3,37649.5,65.75,273.99
STORY DRIVEN,Cyberpunk 2077,September,2023,57259.7,40798.3,247.84,258.88
STORY DRIVEN,Cyberpunk 2077,August,2023,16461.4,-2424.7,-12.84,32.08
STORY DRIVEN,Cyberpunk 2077,July,2023,18886.1,4149.4,28.16,31.956
STORY DRIVEN,Cyberpunk 2077,June,2023,14736.7,2859.0,24.07,30.953
STORY DRIVEN,Cyberpunk 2077,May,2023,11877.7,-4214.3,-26.19,22.434
STORY DRIVEN,Cyberpunk 2077,April,2023,16091.9,2754.9,20.66,31.446
